Sample Name,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,img_url,type,thc_level,most_common_terpene,description,relaxed,happy,euphoric,uplifted,sleepy,dry_mouth,dry_eyes,dizzy,paranoid,anxious,stress,pain,depression,anxiety,insomnia,hungry,talkative,headache,ptsd,creative,energetic,fatigue,focused,giggly,lack_of_appetite,nausea,headaches,bipolar_disorder,cancer,tingly,cramps,aroused,gastrointestinal_disorder,inflammation,muscle_spasms,eye_pressure,migraines,asthma,anorexia,arthritis,add/adhd,muscular_dystrophy,hypertension,glaucoma,pms,seizures,spasticity,spinal_cord_injury,fibromyalgia,crohn's_disease,phantom_limb_pain,epilepsy,multiple_sclerosis,parkinson's,tourette's_syndrome,alzheimer's,hiv/aids,tinnitus
Orange Haze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18000000000000002,0.0,0.0,0.0,0.0,1.3,0.0,0.22,0.0,2.5966666666666667,1.0599999999999998,0.0,0.9233333333333333,0.14666666666666667,0.0,0.0,0.0,0.0,0.0,22.290000000000003,0.49,0.0,0.0,0.0,0.0,0.10666666666666667,0.17333333333333334,0.0,0.0,0.1366666666666667,0.04,0.03,,Hybrid,20%,Pinene,"The sativa-dominant hybrid Orange Haze by Green Devil Genetics combines a flavorful Orange Bud with the classic Haze. From Orange Bud, it inherits a sweet citrus flavor while Haze provides this hybrid with all of our favorite sativa effects: energy, focus, euphoria, and creativity. Orange Haze’s dense, sticky buds are threaded with fiery copper hairs, giving this strain an unmistakable appearance akin to its Orange Bud parent. Green Devil Genetics recommends a 64-day flowering time indoors, or a mid-October harvest for outdoor gardens.",0.41,0.72,0.49,0.56,0.0,0.32,0.16,0.09,0.11,0.07,0.23,0.11,0.17,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orange Kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1713333333333333,0.0,0.0,0.0,0.0,0.7406666666666666,0.0,0.11133333333333333,0.0,0.644,0.3026666666666667,0.0,0.39,0.21333333333333335,0.0,0.0,0.982,0.0,0.0,17.750666666666667,0.7933333333333333,0.0,0.0,0.0,0.012666666666666666,0.09266666666666667,0.10866666666666668,0.0,0.0,0.4486666666666667,0.01933333333333333,0.03066666666666667,,Indica,17%,Myrcene,"Orange Kush is an indica marijuana strain made by crossing Orange Bud and OG Kush. The effects of this strain eases the body into relaxation while lifting moods with a sweet and tangy citrus flavor. Orange Kush is resistant to most pests and mold. It has long, dense buds with many orange hairs and trichome crystals.",0.59,0.49,0.44,0.0,0.38,0.38,0.21,0.09,0.09,0.0,0.35,0.25,0.19,0.31,0.25,0.33,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orange Skunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08166666666666667,0.0,0.0,0.0,0.0,1.2533333333333332,0.0,0.0,0.0,0.8266666666666667,0.25666666666666665,0.0,0.32666666666666666,0.13833333333333334,0.0,0.0,0.0,0.0,0.0,12.308333333333332,0.385,0.0,0.0,0.0,0.0,1.2083333333333333,0.09999999999999999,0.0,0.0,0.3516666666666666,0.07833333333333334,0.03833333333333334,https://images.leafly.com/flower-images/orange-skunk.jpg,Hybrid,18%,Caryophyllene,"Orange Skunk is a clear-headed hybrid cross between Californian Orange and Skunk. With a smell that is as sweet as it is sour, Orange Skunk delivers strong physical sensations that creep into a steady cerebral invigoration. Its medical uses are diverse, but patients treating stress, anxiety, inflammation and headaches may benefit the most from this California hybrid. Novice growers delight in the simplicity of raising Orange Skunk plants, which flower in 8 to 10 weeks in indoor gardens.",0.5,0.73,0.0,0.34,0.0,0.19,0.26,0.0,0.03,0.03,0.34,0.26,0.23,0.23,0.0,0.34,0.3,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orange Tree,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.003,0.0,0.0,0.062,0.0,0.0,0.019,0.084,0.019,0.0,0.299,0.143,0.0,0.036,0.181,0.0,0.0,0.0,0.29,0.0,17.95,0.0,0.0,0.05,0.0,0.0,0.0,0.2,0.15,0.0,,Hybrid,19%,Caryophyllene,"Orange Tree is a hybrid marijuana strain made by crossing 24k Gold and Orange Valley OG. This strain is popular among citrus lovers for its bold, orange flavors. When smoked, this strain envelops your senses in a sweet, orange aroma that will make you feel as if you're walking through an orange tree orchard. Orange Tree produces effects that are calming and relaxing. It's a popular strain choice among medical marijuana patients who suffer from symptoms of chronic pain. Orange Tree buds are usually small and come in a deep green shade with bright orange hairs.",0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orange Velvet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.92,0.0,0.0775,0.0,0.315,0.14,0.0,0.43,0.1,0.0,0.0,1.0474999999999999,0.0,0.0,17.4425,0.545,0.0,0.0,0.0,0.005,0.085,0.0925,0.0,0.0,0.5825,0.35,0.0125,,Hybrid,19%,,"This hard to come by strain known as Orange Velvet, tastes and smells remarkably like Orange Dreamsicles; the orange-y, creamy, frozen desert on a stick. The strain was created by MzJill Genetics. The effects are not super powerful with the OV, but the taste and aroma more than make up for it. The high gives just the right amount of euphoric lift, while maintaining an even focus and clarity for a duration of 2 to 3 hours. Medicinally, this strain is good for treating light pain. Orange Velvet has been discontinued for the most part, but it does pop up from time to time in some dispensaries; so if you see it out there in the world, buy large!",0.41,0.47,0.41,0.47,0.0,0.11,0.03,0.01,0.03,0.07,0.37,0.17,0.23,0.19,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oregon Diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.013,0.006,0.0,0.205,0.161,0.0,0.718,0.039,0.0,0.117,0.674,0.0,0.0,19.32,0.5,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.05,0.0,,Indica,17%,Caryophyllene,Oregon Diesel is an indica-dominant hybrid that combines NYC Diesel and Blackberry genetics in a blend bred by Homegrown Natural Wonders specifically for the Pacific Northwest climate. This strain was popularized by Oregrown as they hunted for quality genetics. Oregon Diesel is recommended for nighttime pain relief and its relaxing yet clear-headed effects will calm stress and help you avoid sleepless nights.,0.71,0.63,0.46,0.36,0.33,0.2,0.04,0.05,0.0,0.02,0.3,0.23,0.24,0.28,0.26,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orient Express,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.12,0.0,0.0,0.31,0.73,0.0,0.0,0.0,0.0,0.0,49.01,26.12,0.0,0.0,0.0,0.06,0.18,0.81,0.0,0.0,2.92,0.0,0.23,,Hybrid,18%,,"Orient Express by Ace Seeds is a sativa-dominant hybrid with Asian lineage. Created by crossing Vietnam Black and China Yunnan, Orient Express has herbal, grassy aromas representative of the hot and humid forest floor in the dense rainforests of Southeast Asia. The effects are described as warm, clean, and pleasant and perfect for chatting and enjoying good company without paranoia or anxiety. With an average potency of 16% THC and an 8 to 10 week flowering time, Orient Express is an ideal option for new or seasoned gardeners. ",0.66,0.5,0.0,0.5,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.5,0.33,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0
Ortega,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252,0.0,0.032,0.0,0.815,0.133,0.0,1.259,1.728,0.0,0.228,0.735,0.0,0.0,68.17,12.29,0.0,0.0,0.0,0.0,0.23,0.22,0.0,0.0,0.0,1.05,0.0,,Indica,20%,Myrcene,"Ortega by Mr. Nice Seeds is an indica strain bred from Northern Lights genetics. Since its creation in the mid-1980s, Oretga has offered growers heavy yields of resinous, sweet-smelling buds that finish flowering in just 6 to 8 weeks. Its effects are heavily tranquilizing and help to usher in sleep with late night use. ",1.0,0.42,0.42,0.57,0.0,0.28,0.28,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.28,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otto #1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,5.99,3.71,0.0,0.0,0.0,0.07,32.19,11.24,0.0,0.0,0.78,0.0,0.7,,Hybrid,8%,Caryophyllene,"Otto #1 is a hybrid marijuana strain. We're still learning about the flavors and effects of Otto 1 - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ozma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047142857142857146,0.0,0.0,0.0,0.0,0.3685714285714286,0.0,0.0,0.0,0.08142857142857143,0.41285714285714287,0.0,0.12,0.49142857142857144,0.0,0.0,0.0,0.0,0.0,5.288571428571428,0.40714285714285714,0.0,0.0,0.0,0.0,10.778571428571428,0.41571428571428576,0.0,0.0,0.562857142857143,0.06999999999999999,0.0642857142857143,,Hybrid,8%,,"Ozma is a high-CBD cross of Harlequin, Cannatonic, and Sour Tsunami. The strain puts forward a dank earthy and woody aroma with a flavor that is sweet and woody with pine overtones. Buds come with amber-colored trichomes and offer a mellow high with cerebral effects. Ozma is a great strain for low tolerance smokers looking to enjoy a light-hearted day or unwind in the evening.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
